x,y
1,44
2,56
3,61
4,84
5,66
6,92
7,105
8,86
9,100
10,96
11,106
12,124
13,129
14,148
15,153
16,161
17,151
18,161
19,170
20,188
21,174
22,168
23,176
24,185
25,203
26,215
27,221
28,209
29,242
30,226
31,252
32,227
33,255
34,269
35,261
36,251
37,272
38,291
39,300
40,292
41,311
42,314
43,309
44,323
45,326
46,310
47,342
48,329
49,361
50,345
51,348
52,361
53,376
54,383
55,381
56,372
57,385
58,414
59,390
60,398
61,406
62,431
63,429
64,450
65,433
66,462
67,442
68,467
69,478
70,484
71,473
72,496
73,493
74,512
75,499
76,504
77,499
78,521
79,529
80,514
81,525
82,547
83,552
84,559
85,555
86,574
87,585
88,581
89,582
90,608
91,607
92,617
93,609
94,603
95,621
96,624
97,623
98,633
99,655
100,657
