x,y
1,4274
2,4665
3,6966
4,7213
5,4716
6,4356
7,2695
8,4969
9,4249
10,7354
11,6588
12,4961
13,6545
14,3888
15,5480
16,3331
17,5390
18,5700
19,5765
20,5794
21,7005
22,3635
23,6398
24,3302
25,6356
26,4010
27,5081
28,5108
29,7021
30,6143
31,3784
32,5918
33,4960
34,5356
35,4782
36,2806
37,4568
38,3878
39,5854
40,3996
41,6347
42,4848
43,6791
44,7378
45,6725
46,4071
47,3653
48,3808
49,6054
50,6698
51,6529
52,5296
53,6807
54,3769
55,6792
56,6760
57,7005
58,5430
59,5136
60,3648
61,5476
62,7556
63,4407
64,3487
65,3396
66,4682
67,5430
68,7879
69,6625
70,3812
71,7259
72,3905
73,7540
74,6735
75,3596
76,6774
77,7215
78,6359
79,4415
80,6443
81,7710
82,4759
83,6999
84,7719
85,7081
86,6899
87,5824
88,3997
89,5246
90,4333
91,7972
92,7993
93,7115
94,6947
95,5174
96,3585
97,7345
98,3842
99,5211
100,4241
101,8092
102,5505
103,3136
104,7715
105,4295
106,6380
107,7455
108,7369
109,7148
110,3274
111,3291
112,4816
113,7073
114,6326
115,8051
116,3403
117,4774
118,8079
119,3468
120,4081
121,5155
122,7812
123,3590
124,6436
125,5039
126,7584
127,6104
128,4327
129,7731
130,6733
131,5496
132,7755
133,7948
134,6873
135,8218
136,4118
137,6983
138,7202
139,7922
140,4088
141,7007
142,5206
143,6061
144,5283
145,7347
146,8099
147,5225
148,3951
149,6315
150,6848
151,6182
152,8280
153,6112
154,3446
155,5708
156,4005
157,6723
158,4199
159,5483
160,7261
161,8277
162,3833
163,7697
164,3575
165,8454
166,8111
167,8421
168,4110
169,3746
170,8261
171,4539
172,8095
173,3789
174,5509
175,4065
176,6497
177,4735
178,6955
179,5950
180,6464
181,4099
182,8217
183,8042
184,6070
185,7401
186,7152
187,5857
188,7575
189,5196
190,7540
191,4985
192,7543
193,5421
194,4778
195,7106
196,4890
197,5726
198,8064
199,7765
200,7583
201,6155
202,5425
203,6373
204,5802
205,8114
206,5717
207,5018
208,5757
209,7339
210,6121
211,7621
212,4466
213,5667
214,5223
215,8094
216,4056
217,6747
218,6173
219,7193
220,6999
221,8765
222,4274
223,7711
224,4025
225,5574
226,4187
227,5544
228,8319
229,6207
230,7817
231,6078
232,8742
233,7557
234,4284
235,7436
236,6004
237,8913
238,5376
239,8718
240,4171
241,7058
242,4282
243,6627
244,7352
245,6982
246,4615
247,8732
248,8400
249,4328
250,7153
251,4960
252,6345
253,4363
254,8511
255,8240
256,4600
257,8196
258,4848
259,7750
260,6044
261,6677
262,8588
263,4995
264,6477
265,4574
266,7007
267,4821
268,7250
269,6831
270,7811
271,4199
272,5407
273,7528
274,7416
275,8634
276,5591
277,6513
278,9107
279,8426
280,8540
281,5453
282,6113
283,8827
284,5616
285,8217
286,5150
287,6538
288,7806
289,6627
290,4678
291,7248
292,9058
293,8397
294,6446
295,5969
296,5458
297,8569
298,5016
299,8115
300,5096
301,6551
302,4698
303,4898
304,6493
305,6009
306,7626
307,8472
308,7147
309,8951
310,8720
311,8298
312,4815
313,7638
314,7560
315,5117
316,8529
317,7716
318,5130
319,9287
320,9289
321,4727
322,9152
323,5419
324,8104
325,8971
326,8083
327,6700
328,8936
329,8922
330,4522
331,6130
332,7833
333,8373
334,6153
335,8506
336,4913
337,6177
338,6042
339,8976
340,4655
341,8789
342,9090
343,4680
344,9549
345,4584
346,8746
347,6859
348,5359
349,6543
350,9400
351,8316
352,8572
353,4924
354,5218
355,8153
356,8960
357,7682
358,6111
359,9575
360,7267
361,7221
362,8130
363,8967
364,5754
365,5478
366,9507
367,9293
368,5048
369,7292
370,6372
371,7671
372,7472
373,6239
374,6157
375,6602
376,7586
377,5093
378,8060
379,9543
380,9424
381,5191
382,8021
383,5509
384,9739
385,9366
386,6217
387,7200
388,4879
389,8271
390,5958
391,5704
392,9503
393,8534
394,5947
395,9276
396,8887
397,7198
398,5894
399,5245
400,5908
401,5086
402,6180
403,8231
404,6770
405,7063
406,5125
407,9242
408,7162
409,5523
410,8969
411,5239
412,5645
413,8264
414,7043
415,8862
416,5674
417,5185
418,6392
419,7612
420,7032
421,8293
422,8636
423,8377
424,8937
425,7913
426,7346
427,9680
428,10027
429,9048
430,7941
431,8495
432,7275
433,8619
434,6911
435,6262
436,9560
437,9884
438,6205
439,6253
440,7810
441,9596
442,6342
443,10118
444,9925
445,9045
446,9047
447,9618
448,8502
449,5569
450,7764
451,8655
452,6688
453,5921
454,5924
455,6999
456,7123
457,6146
458,6826
459,7212
460,9483
461,7697
462,9611
463,8271
464,8480
465,10207
466,9481
467,8376
468,9415
469,6856
470,6931
471,8711
472,7780
473,8101
474,6430
475,9393
476,6002
477,6266
478,7117
479,8790
480,8457
481,8594
482,10368
483,7055
484,8107
485,5622
486,6964
487,6390
488,7803
489,8444
490,9991
491,10150
492,9170
493,5932
494,9990
495,7664
496,7479
497,6726
498,9021
499,6119
500,6115
501,6287
502,5842
503,6452
504,7150
505,7715
506,9766
507,7963
508,8657
509,10028
510,7345
511,5982
512,9089
513,7808
514,6489
515,8288
516,7220
517,7633
518,5910
519,9793
520,8764
521,9270
522,6462
523,8344
524,7069
525,9454
526,8392
527,10632
528,8925
529,8172
530,9247
531,5913
532,10639
533,10647
534,9909
535,7799
536,8555
537,8353
538,7185
539,6712
540,10350
541,10735
542,10182
543,6782
544,7241
545,10575
546,8794
547,9388
548,6976
549,7661
550,10056
551,8078
552,6434
553,7257
554,10066
555,8233
556,9272
557,7186
558,10462
559,8217
560,6988
561,7062
562,9627
563,7889
564,10440
565,10841
566,10225
567,7749
568,10495
569,8298
570,10651
571,10332
572,8124
573,10422
574,9098
575,7457
576,6533
577,7228
578,9351
579,8745
580,9411
581,6735
582,6716
583,6823
584,10177
585,8706
586,6911
587,10282
588,10911
589,8949
590,6668
591,9600
592,10426
593,11030
594,10007
595,9924
596,10465
597,9259
598,10075
599,9010
600,10030
601,7452
602,7617
603,8092
604,10024
605,9397
606,7544
607,9981
608,8049
609,9737
610,7829
611,6178
612,7497
613,10466
614,8823
615,10416
616,7966
617,9693
618,8978
619,7185
620,8861
621,9763
622,7726
623,7369
624,6986
625,7625
626,10604
627,9092
628,10943
629,8009
630,10325
631,10962
632,11285
633,9169
634,11126
635,9370
636,7181
637,9738
638,9579
639,7188
640,10745
641,8619
642,8535
643,10819
644,8717
645,9683
646,11045
647,10927
648,10403
649,8094
650,11407
651,9897
652,10087
653,10695
654,9592
655,8023
656,10871
657,7299
658,8120
659,7911
660,7678
661,8750
662,7204
663,7953
664,8751
665,9407
666,7511
667,7549
668,7176
669,9630
670,11513
671,10843
672,8658
673,8822
674,7329
675,10225
676,7603
677,8718
678,7850
679,7631
680,10590
681,9769
682,7192
683,9830
684,8648
685,9453
686,8086
687,8591
688,10496
689,9537
690,7878
691,11241
692,7626
693,7727
694,10636
695,8218
696,7343
697,8921
698,11183
699,9070
700,8605
701,9984
702,10972
703,8613
704,10663
705,6959
706,11560
707,7823
708,8521
709,10598
710,9802
711,9835
712,10706
713,8306
714,10580
715,8485
716,7813
717,7522
718,10508
719,8885
720,7526
721,8941
722,8171
723,7436
724,10350
725,9559
726,9833
727,8490
728,7667
729,9658
730,8498
731,8691
732,7327
733,7825
734,10513
735,10712
736,10963
737,7648
738,9056
739,8225
740,11593
741,10711
742,9505
743,7784
744,7419
745,11502
746,7324
747,9585
748,10426
749,8930
750,7702
751,10277
752,7038
753,10404
754,11178
755,7462
756,10167
757,8659
758,11870
759,7341
760,7622
761,7320
762,10349
763,10311
764,11628
765,8728
766,11772
767,10446
768,9020
769,11614
770,9067
771,9651
772,9287
773,9134
774,12131
775,8618
776,8197
777,7471
778,10542
779,8654
780,8970
781,10432
782,8927
783,10243
784,8557
785,11531
786,9863
787,7842
788,9040
789,11982
790,11985
791,9343
792,10572
793,11350
794,8955
795,10750
796,10941
797,8318
798,11169
799,10788
800,11150
801,9654
802,11864
803,10570
804,10200
805,11151
806,11131
807,11228
808,7796
809,10610
810,8022
811,8744
812,10523
813,10752
814,7845
815,11538
816,9141
817,8604
818,8079
819,12388
820,7590
821,11829
822,9557
823,12019
824,10266
825,9744
826,12033
827,8293
828,11201
829,10650
830,10084
831,8502
832,11971
833,7946
834,12160
835,8449
836,9032
837,12253
838,8943
839,8595
840,9300
841,9483
842,7694
843,9012
844,7598
845,12463
