x,y
1,44
2,50
3,53
4,61
5,62
6,67
7,72
8,74
9,77
10,79
11,81
12,85
13,88
14,92
15,96
16,100
17,103
18,106
19,110
20,114
21,116
22,119
23,121
24,124
25,127
26,134
27,140
28,146
29,153
30,159
31,165
32,170
33,177
34,184
35,190
36,196
37,202
38,209
39,215
40,220
41,226
42,233
43,239
44,245
45,250
46,256
47,263
48,269
49,276
50,282
51,287
52,293
53,299
54,305
55,311
56,316
57,322
58,329
59,333
60,339
61,345
62,351
63,357
64,363
65,369
66,375
67,380
68,386
69,392
70,399
71,405
72,411
73,418
74,424
75,430
76,436
77,442
78,448
79,453
80,459
81,465
82,471
83,477
84,484
85,490
86,497
87,503
88,509
89,514
90,521
91,527
92,534
93,540
94,545
95,550
96,556
97,561
98,567
99,573
100,579
