x,y
1,4274
2,4469
3,5301
4,5779
5,5566
6,5365
7,4983
8,4981
9,4900
10,5145
11,5276
12,5250
13,5350
14,5245
15,5261
16,5140
17,5155
18,5185
19,5216
20,5244
21,5328
22,5251
23,5301
24,5218
25,5263
26,5215
27,5210
28,5206
29,5269
30,5298
31,5249
32,5270
33,5261
34,5264
35,5250
36,5182
37,5165
38,5131
39,5150
40,5121
41,5151
42,5144
43,5182
44,5232
45,5265
46,5239
47,5205
48,5176
49,5194
50,5224
51,5250
52,5251
53,5280
54,5252
55,5280
56,5306
57,5336
58,5338
59,5334
60,5306
61,5309
62,5345
63,5330
64,5302
65,5272
66,5263
67,5266
68,5304
69,5323
70,5302
71,5329
72,5309
73,5340
74,5359
75,5335
76,5354
77,5378
78,5391
79,5379
80,5392
81,5421
82,5412
83,5432
84,5459
85,5478
86,5494
87,5498
88,5481
89,5478
90,5466
91,5493
92,5520
93,5538
94,5553
95,5549
96,5528
97,5547
98,5529
99,5526
100,5513
101,5539
102,5539
103,5515
104,5536
105,5525
106,5533
107,5551
108,5567
109,5582
110,5561
111,5540
112,5534
113,5548
114,5554
115,5576
116,5557
117,5551
118,5572
119,5554
120,5542
121,5539
122,5558
123,5542
124,5549
125,5545
126,5561
127,5565
128,5555
129,5572
130,5581
131,5581
132,5597
133,5615
134,5624
135,5643
136,5632
137,5642
138,5653
139,5670
140,5658
141,5668
142,5665
143,5667
144,5665
145,5676
146,5693
147,5690
148,5678
149,5682
150,5690
151,5693
152,5710
153,5713
154,5698
155,5698
156,5687
157,5694
158,5685
159,5683
160,5693
161,5709
162,5698
163,5710
164,5697
165,5714
166,5728
167,5744
168,5734
169,5723
170,5737
171,5730
172,5744
173,5733
174,5732
175,5722
176,5727
177,5721
178,5728
179,5729
180,5733
181,5724
182,5738
183,5750
184,5752
185,5761
186,5769
187,5769
188,5779
189,5776
190,5785
191,5781
192,5790
193,5788
194,5783
195,5789
196,5785
197,5785
198,5796
199,5806
200,5815
201,5817
202,5815
203,5817
204,5817
205,5828
206,5828
207,5824
208,5824
209,5831
210,5832
211,5841
212,5834
213,5834
214,5831
215,5841
216,5833
217,5837
218,5839
219,5845
220,5850
221,5863
222,5856
223,5864
224,5856
225,5855
226,5848
227,5846
228,5857
229,5859
230,5867
231,5868
232,5880
233,5888
234,5881
235,5887
236,5888
237,5901
238,5898
239,5910
240,5903
241,5908
242,5901
243,5904
244,5910
245,5914
246,5909
247,5920
248,5930
249,5924
250,5929
251,5925
252,5927
253,5921
254,5931
255,5940
256,5935
257,5943
258,5939
259,5946
260,5946
261,5949
262,5959
263,5956
264,5958
265,5952
266,5956
267,5952
268,5957
269,5960
270,5967
271,5961
272,5959
273,5964
274,5970
275,5979
276,5978
277,5980
278,5991
279,6000
280,6009
281,6007
282,6007
283,6017
284,6016
285,6023
286,6020
287,6022
288,6028
289,6030
290,6026
291,6030
292,6040
293,6048
294,6050
295,6050
296,6048
297,6056
298,6052
299,6059
300,6056
301,6058
302,6053
303,6050
304,6051
305,6051
306,6056
307,6064
308,6067
309,6077
310,6085
311,6092
312,6088
313,6093
314,6098
315,6095
316,6102
317,6108
318,6104
319,6114
320,6124
321,6120
322,6129
323,6127
324,6133
325,6142
326,6148
327,6150
328,6158
329,6167
330,6162
331,6161
332,6167
333,6173
334,6173
335,6180
336,6176
337,6176
338,6176
339,6184
340,6180
341,6187
342,6196
343,6191
344,6201
345,6196
346,6204
347,6206
348,6203
349,6204
350,6213
351,6219
352,6226
353,6222
354,6219
355,6225
356,6233
357,6237
358,6236
359,6246
360,6248
361,6251
362,6256
363,6264
364,6262
365,6260
366,6269
367,6277
368,6274
369,6277
370,6277
371,6281
372,6284
373,6284
374,6284
375,6284
376,6288
377,6285
378,6289
379,6298
380,6306
381,6303
382,6308
383,6306
384,6315
385,6322
386,6322
387,6324
388,6321
389,6326
390,6325
391,6323
392,6331
393,6337
394,6336
395,6343
396,6350
397,6352
398,6351
399,6348
400,6347
401,6344
402,6343
403,6348
404,6349
405,6351
406,6348
407,6355
408,6357
409,6355
410,6361
411,6359
412,6357
413,6361
414,6363
415,6369
416,6367
417,6365
418,6365
419,6368
420,6369
421,6374
422,6379
423,6384
424,6390
425,6393
426,6396
427,6403
428,6412
429,6418
430,6422
431,6426
432,6428
433,6433
434,6434
435,6434
436,6441
437,6449
438,6449
439,6448
440,6451
441,6458
442,6458
443,6466
444,6474
445,6480
446,6486
447,6493
448,6497
449,6495
450,6498
451,6503
452,6503
453,6502
454,6501
455,6502
456,6503
457,6502
458,6503
459,6504
460,6511
461,6513
462,6520
463,6524
464,6528
465,6536
466,6542
467,6546
468,6552
469,6553
470,6554
471,6558
472,6561
473,6564
474,6564
475,6570
476,6569
477,6568
478,6569
479,6574
480,6578
481,6582
482,6590
483,6591
484,6594
485,6592
486,6593
487,6592
488,6595
489,6599
490,6606
491,6613
492,6618
493,6617
494,6623
495,6625
496,6627
497,6627
498,6632
499,6631
500,6630
501,6629
502,6628
503,6628
504,6629
505,6631
506,6637
507,6640
508,6644
509,6650
510,6652
511,6650
512,6655
513,6657
514,6657
515,6660
516,6661
517,6663
518,6662
519,6668
520,6672
521,6677
522,6676
523,6679
524,6680
525,6685
526,6689
527,6696
528,6700
529,6703
530,6708
531,6706
532,6714
533,6721
534,6727
535,6729
536,6733
537,6736
538,6736
539,6736
540,6743
541,6750
542,6757
543,6757
544,6758
545,6765
546,6768
547,6773
548,6774
549,6775
550,6781
551,6784
552,6783
553,6784
554,6790
555,6792
556,6797
557,6797
558,6804
559,6807
560,6807
561,6807
562,6812
563,6814
564,6821
565,6828
566,6834
567,6835
568,6842
569,6844
570,6851
571,6857
572,6859
573,6866
574,6869
575,6871
576,6870
577,6871
578,6875
579,6878
580,6882
581,6882
582,6882
583,6882
584,6887
585,6891
586,6891
587,6896
588,6903
589,6907
590,6906
591,6911
592,6917
593,6924
594,6929
595,6934
596,6940
597,6944
598,6949
599,6952
600,6958
601,6958
602,6959
603,6961
604,6966
605,6970
606,6971
607,6976
608,6978
609,6983
610,6984
611,6983
612,6983
613,6989
614,6992
615,6998
616,6999
617,7004
618,7007
619,7007
620,7010
621,7015
622,7016
623,7016
624,7016
625,7017
626,7023
627,7026
628,7032
629,7034
630,7039
631,7045
632,7052
633,7055
634,7062
635,7066
636,7066
637,7070
638,7074
639,7074
640,7080
641,7082
642,7084
643,7090
644,7093
645,7097
646,7103
647,7109
648,7114
649,7115
650,7122
651,7126
652,7131
653,7136
654,7140
655,7141
656,7147
657,7147
658,7149
659,7150
660,7151
661,7153
662,7153
663,7154
664,7157
665,7160
666,7161
667,7161
668,7161
669,7165
670,7171
671,7177
672,7179
673,7182
674,7182
675,7186
676,7187
677,7189
678,7190
679,7191
680,7196
681,7200
682,7200
683,7203
684,7206
685,7209
686,7210
687,7212
688,7217
689,7220
690,7221
691,7227
692,7228
693,7228
694,7233
695,7235
696,7235
697,7237
698,7243
699,7245
700,7247
701,7251
702,7257
703,7259
704,7263
705,7263
706,7269
707,7270
708,7272
709,7276
710,7280
711,7283
712,7288
713,7290
714,7294
715,7296
716,7297
717,7297
718,7301
719,7304
720,7304
721,7306
722,7307
723,7308
724,7312
725,7315
726,7318
727,7320
728,7320
729,7324
730,7325
731,7327
732,7327
733,7328
734,7332
735,7337
736,7342
737,7342
738,7344
739,7346
740,7351
741,7356
742,7359
743,7359
744,7359
745,7365
746,7365
747,7368
748,7372
749,7374
750,7375
751,7378
752,7378
753,7382
754,7387
755,7387
756,7391
757,7392
758,7398
759,7398
760,7399
761,7398
762,7402
763,7406
764,7412
765,7413
766,7419
767,7423
768,7425
769,7431
770,7433
771,7436
772,7438
773,7440
774,7446
775,7448
776,7449
777,7449
778,7453
779,7454
780,7456
781,7460
782,7462
783,7465
784,7467
785,7472
786,7475
787,7475
788,7477
789,7483
790,7489
791,7491
792,7495
793,7500
794,7502
795,7506
