index,type,weight,price
0,Shrimp,46.0,16.99
1,Crab,55.0,28.99
2,Crab,29.0,28.99
3,Scallop,32.0,21.99
4,Shrimp,55.0,16.99
5,Fish,38.0,11.99
6,Scallop,21.0,21.99
7,Scallop,47.0,21.99
8,Scallop,38.0,21.99
9,Scallop,32.0,21.99
10,Crab,30.0,28.99
11,Shrimp,28.0,16.99
12,Scallop,41.0,21.99
13,Crab,58.0,28.99
14,Shrimp,40.0,16.99
15,Crab,30.0,28.99
16,Shrimp,35.0,16.99
17,Fish,53.0,11.99
18,Scallop,20.0,21.99
19,Fish,24.0,11.99
20,Fish,40.0,11.99
21,Crab,60.0,28.99
22,Crab,36.0,28.99
23,Shrimp,60.0,16.99
24,Crab,41.0,28.99
25,Shrimp,20.0,16.99
26,Crab,57.0,28.99
27,Scallop,38.0,21.99
28,Fish,25.0,11.99
29,Crab,30.0,28.99
30,Fish,45.0,11.99
31,Crab,39.0,28.99
32,Crab,31.0,28.99
33,Crab,26.0,28.99
34,Crab,55.0,28.99
35,Fish,33.0,11.99
36,Fish,46.0,11.99
37,Crab,23.0,28.99
38,Scallop,23.0,21.99
39,Fish,21.0,11.99
40,Shrimp,31.0,16.99
41,Crab,34.0,28.99
42,Crab,48.0,28.99
43,Crab,52.0,28.99
44,Fish,33.0,11.99
45,Scallop,48.0,21.99
46,Crab,38.0,28.99
47,Fish,60.0,11.99
48,Scallop,39.0,21.99
49,Crab,23.0,28.99
50,Scallop,49.0,21.99
51,Crab,35.0,28.99
52,Shrimp,58.0,16.99
53,Crab,47.0,28.99
54,Fish,43.0,11.99
55,Scallop,23.0,21.99
56,Scallop,39.0,21.99
57,Crab,29.0,28.99
58,Shrimp,60.0,16.99
59,Fish,24.0,11.99
60,Crab,29.0,28.99
61,Fish,23.0,11.99
62,Shrimp,44.0,16.99
63,Crab,24.0,28.99
64,Crab,42.0,28.99
65,Crab,59.0,28.99
66,Scallop,60.0,21.99
67,Fish,37.0,11.99
68,Fish,40.0,11.99
69,Crab,37.0,28.99
70,Crab,47.0,28.99
71,Shrimp,54.0,16.99
72,Fish,52.0,11.99
73,Crab,21.0,28.99
74,Scallop,48.0,21.99
75,Crab,32.0,28.99
76,Crab,23.0,28.99
77,Crab,53.0,28.99
78,Scallop,35.0,21.99
79,Scallop,20.0,21.99
80,Crab,55.0,28.99
81,Crab,29.0,28.99
82,Fish,30.0,11.99
83,Crab,32.0,28.99
84,Fish,52.0,11.99
85,Crab,26.0,28.99
86,Shrimp,32.0,16.99
87,Crab,37.0,28.99
88,Shrimp,36.0,16.99
89,Fish,53.0,11.99
90,Fish,25.0,11.99
91,Shrimp,49.0,16.99
92,Crab,46.0,28.99
93,Scallop,21.0,21.99
94,Crab,45.0,28.99
95,Scallop,44.0,21.99
96,Crab,47.0,28.99
97,Fish,54.0,11.99
98,Scallop,47.0,21.99
99,Fish,26.0,11.99
100,Crab,25.0,28.99
101,Crab,58.0,28.99
102,Crab,23.0,28.99
103,Fish,52.0,11.99
104,Crab,35.0,28.99
105,Shrimp,60.0,16.99
106,Scallop,42.0,21.99
107,Crab,36.0,28.99
108,Crab,50.0,28.99
109,Fish,51.0,11.99
110,Crab,36.0,28.99
111,Scallop,27.0,21.99
112,Crab,55.0,28.99
113,Shrimp,54.0,16.99
114,Crab,36.0,28.99
115,Crab,25.0,28.99
116,Shrimp,24.0,16.99
117,Scallop,23.0,21.99
118,Crab,26.0,28.99
119,Crab,46.0,28.99
120,Scallop,27.0,21.99
121,Shrimp,22.0,16.99
122,Fish,28.0,11.99
123,Scallop,30.0,21.99
124,Shrimp,37.0,16.99
125,Fish,56.0,11.99
126,Scallop,21.0,21.99
127,Crab,45.0,28.99
128,Crab,25.0,28.99
129,Scallop,23.0,21.99
130,Scallop,35.0,21.99
131,Scallop,46.0,21.99
132,Fish,31.0,11.99
133,Shrimp,43.0,16.99
134,Shrimp,58.0,16.99
135,Shrimp,33.0,16.99
