index,type,weight,price
0,Scallop,26.0,21.99
1,Shrimp,45.0,16.99
2,Shrimp,27.0,16.99
3,Scallop,34.0,21.99
4,Crab,27.0,28.99
5,Fish,51.0,11.99
6,Crab,48.0,28.99
7,Crab,27.0,28.99
8,Fish,58.0,11.99
9,Crab,21.0,28.99
10,Shrimp,55.0,16.99
11,Crab,55.0,28.99
12,Scallop,33.0,21.99
13,Fish,55.0,11.99
14,Crab,27.0,28.99
15,Scallop,33.0,21.99
16,Fish,41.0,11.99
17,Crab,54.0,28.99
18,Shrimp,33.0,16.99
19,Shrimp,35.0,16.99
20,Crab,60.0,28.99
21,Scallop,41.0,21.99
22,Fish,54.0,11.99
23,Shrimp,39.0,16.99
24,Scallop,51.0,21.99
25,Crab,59.0,28.99
26,Scallop,58.0,21.99
27,Crab,28.0,28.99
28,Crab,34.0,28.99
29,Fish,54.0,11.99
30,Crab,48.0,28.99
31,Scallop,59.0,21.99
32,Crab,39.0,28.99
33,Crab,25.0,28.99
34,Crab,37.0,28.99
35,Scallop,24.0,21.99
36,Crab,55.0,28.99
37,Crab,40.0,28.99
38,Shrimp,56.0,16.99
39,Crab,46.0,28.99
40,Scallop,22.0,21.99
41,Crab,35.0,28.99
42,Shrimp,44.0,16.99
43,Scallop,34.0,21.99
44,Crab,31.0,28.99
45,Scallop,28.0,21.99
46,Crab,56.0,28.99
47,Scallop,43.0,21.99
48,Fish,37.0,11.99
49,Shrimp,21.0,16.99
50,Scallop,43.0,21.99
51,Crab,36.0,28.99
52,Crab,44.0,28.99
53,Fish,25.0,11.99
54,Shrimp,56.0,16.99
55,Shrimp,22.0,16.99
56,Crab,58.0,28.99
57,Crab,55.0,28.99
58,Crab,25.0,28.99
59,Crab,24.0,28.99
60,Crab,45.0,28.99
61,Crab,21.0,28.99
62,Crab,29.0,28.99
63,Crab,45.0,28.99
64,Scallop,45.0,21.99
65,Crab,38.0,28.99
66,Fish,47.0,11.99
67,Crab,34.0,28.99
68,Fish,32.0,11.99
69,Scallop,46.0,21.99
70,Crab,31.0,28.99
71,Shrimp,57.0,16.99
72,Fish,20.0,11.99
73,Scallop,34.0,21.99
74,Fish,38.0,11.99
75,Crab,25.0,28.99
76,Fish,51.0,11.99
77,Shrimp,26.0,16.99
78,Shrimp,49.0,16.99
79,Scallop,51.0,21.99
80,Scallop,60.0,21.99
81,Scallop,40.0,21.99
82,Crab,34.0,28.99
83,Fish,34.0,11.99
84,Crab,31.0,28.99
85,Crab,46.0,28.99
86,Shrimp,52.0,16.99
87,Crab,52.0,28.99
88,Crab,42.0,28.99
89,Shrimp,21.0,16.99
90,Shrimp,29.0,16.99
91,Fish,31.0,11.99
92,Crab,47.0,28.99
93,Fish,42.0,11.99
94,Fish,43.0,11.99
95,Scallop,29.0,21.99
96,Fish,60.0,11.99
97,Crab,32.0,28.99
98,Shrimp,29.0,16.99
99,Shrimp,29.0,16.99
100,Fish,31.0,11.99
101,Fish,25.0,11.99
102,Scallop,33.0,21.99
103,Scallop,40.0,21.99
104,Fish,36.0,11.99
105,Shrimp,39.0,16.99
106,Crab,49.0,28.99
107,Crab,45.0,28.99
108,Crab,56.0,28.99
109,Crab,23.0,28.99
110,Shrimp,49.0,16.99
111,Fish,29.0,11.99
112,Shrimp,21.0,16.99
113,Scallop,31.0,21.99
114,Crab,45.0,28.99
115,Scallop,35.0,21.99
116,Shrimp,30.0,16.99
117,Shrimp,21.0,16.99
118,Crab,26.0,28.99
119,Shrimp,41.0,16.99
120,Crab,58.0,28.99
121,Crab,23.0,28.99
122,Shrimp,55.0,16.99
123,Shrimp,57.0,16.99
124,Crab,52.0,28.99
125,Shrimp,34.0,16.99
126,Scallop,52.0,21.99
127,Fish,43.0,11.99
128,Crab,21.0,28.99
129,Crab,46.0,28.99
130,Crab,29.0,28.99
131,Crab,24.0,28.99
132,Crab,28.0,28.99
133,Crab,35.0,28.99
134,Scallop,22.0,21.99
135,Scallop,57.0,21.99
136,Crab,42.0,28.99
137,Shrimp,38.0,16.99
138,Scallop,29.0,21.99
139,Fish,52.0,11.99
140,Shrimp,35.0,16.99
141,Fish,37.0,11.99
142,Crab,59.0,28.99
143,Shrimp,37.0,16.99
144,Scallop,25.0,21.99
145,Scallop,39.0,21.99
146,Shrimp,54.0,16.99
147,Scallop,40.0,21.99
148,Fish,42.0,11.99
149,Scallop,34.0,21.99
150,Crab,58.0,28.99
151,Crab,55.0,28.99
152,Shrimp,22.0,16.99
153,Crab,57.0,28.99
154,Crab,39.0,28.99
155,Fish,59.0,11.99
156,Fish,44.0,11.99
157,Crab,25.0,28.99
158,Scallop,33.0,21.99
159,Fish,51.0,11.99
160,Crab,22.0,28.99
161,Scallop,58.0,21.99
162,Shrimp,28.0,16.99
163,Shrimp,38.0,16.99
164,Fish,28.0,11.99
165,Crab,39.0,28.99
166,Shrimp,33.0,16.99
167,Crab,57.0,28.99
168,Crab,59.0,28.99
169,Shrimp,50.0,16.99
170,Crab,29.0,28.99
171,Crab,36.0,28.99
172,Shrimp,33.0,16.99
173,Fish,53.0,11.99
174,Crab,56.0,28.99
175,Fish,33.0,11.99
176,Fish,37.0,11.99
177,Crab,21.0,28.99
178,Crab,23.0,28.99
179,Crab,60.0,28.99
180,Crab,31.0,28.99
181,Scallop,49.0,21.99
182,Fish,30.0,11.99
183,Fish,34.0,11.99
184,Shrimp,27.0,16.99
185,Crab,51.0,28.99
186,Scallop,55.0,21.99
187,Scallop,36.0,21.99
188,Scallop,50.0,21.99
189,Crab,51.0,28.99
190,Scallop,36.0,21.99
191,Fish,37.0,11.99
