x,y
1,15
2,21
3,27
4,33
5,39
6,45
7,51
8,57
9,63
10,69
11,75
12,81
13,87
14,93
15,99
16,105
17,111
18,117
19,123
20,129
21,135
22,141
23,147
24,153
25,159
26,165
27,171
28,177
29,183
30,189
31,195
32,201
33,207
34,213
35,219
36,225
37,231
38,237
39,243
40,249
41,255
42,261
43,267
44,273
45,279
46,285
47,291
48,297
49,303
50,309
51,315
52,321
53,327
54,333
55,339
56,345
57,351
58,357
59,363
60,369
61,375
62,381
63,387
64,393
65,399
66,405
67,411
68,417
69,423
70,429
71,435
72,441
73,447
74,453
75,459
76,465
77,471
78,477
79,483
80,489
81,495
82,501
83,507
84,513
85,519
86,525
87,531
88,537
89,543
90,549
91,555
92,561
93,567
94,573
95,579
96,585
97,591
98,597
99,603
100,609
101,615
102,621
103,627
104,633
105,639
106,645
107,651
108,657
109,663
110,669
111,675
112,681
113,687
114,693
115,699
116,705
117,711
118,717
119,723
120,729
121,735
122,741
123,747
124,753
125,759
126,765
127,771
128,777
129,783
130,789
131,795
132,801
133,807
134,813
135,819
136,825
137,831
138,837
139,843
140,849
141,855
142,861
143,867
144,873
145,879
146,885
147,891
148,897
149,903
150,909
151,915
152,921
153,927
154,933
155,939
156,945
157,951
158,957
159,963
160,969
161,975
162,981
163,987
164,993
165,999
166,1005
167,1011
168,1017
169,1023
170,1029
171,1035
172,1041
173,1047
174,1053
175,1059
176,1065
177,1071
178,1077
179,1083
180,1089
181,1095
182,1101
183,1107
184,1113
185,1119
186,1125
187,1131
188,1137
189,1143
190,1149
191,1155
192,1161
193,1167
194,1173
195,1179
196,1185
197,1191
198,1197
199,1203
200,1209
201,1215
202,1221
203,1227
204,1233
205,1239
206,1245
207,1251
208,1257
209,1263
210,1269
211,1275
212,1281
213,1287
214,1293
215,1299
216,1305
217,1311
218,1317
219,1323
220,1329
221,1335
222,1341
223,1347
224,1353
225,1359
226,1365
227,1371
228,1377
229,1383
230,1389
231,1395
232,1401
233,1407
234,1413
235,1419
236,1425
237,1431
238,1437
239,1443
240,1449
241,1455
242,1461
243,1467
244,1473
245,1479
246,1485
247,1491
248,1497
249,1503
250,1509
251,1515
252,1521
253,1527
254,1533
255,1539
256,1545
257,1551
258,1557
259,1563
260,1569
261,1575
262,1581
263,1587
264,1593
265,1599
266,1605
267,1611
268,1617
269,1623
270,1629
271,1635
272,1641
273,1647
274,1653
275,1659
276,1665
277,1671
278,1677
279,1683
280,1689
281,1695
282,1701
283,1707
284,1713
285,1719
286,1725
287,1731
288,1737
289,1743
290,1749
291,1755
292,1761
293,1767
294,1773
295,1779
296,1785
297,1791
298,1797
299,1803
300,1809
301,1815
302,1821
303,1827
304,1833
305,1839
306,1845
307,1851
308,1857
309,1863
310,1869
311,1875
312,1881
313,1887
314,1893
315,1899
316,1905
317,1911
318,1917
319,1923
320,1929
321,1935
322,1941
323,1947
324,1953
325,1959
326,1965
327,1971
328,1977
329,1983
330,1989
331,1995
332,2001
333,2007
334,2013
335,2019
336,2025
337,2031
338,2037
339,2043
340,2049
341,2055
342,2061
343,2067
344,2073
345,2079
346,2085
347,2091
348,2097
349,2103
350,2109
351,2115
352,2121
353,2127
354,2133
355,2139
356,2145
357,2151
358,2157
359,2163
360,2169
361,2175
362,2181
363,2187
364,2193
365,2199
366,2205
367,2211
368,2217
369,2223
370,2229
371,2235
372,2241
