x,y
1,6709
2,4294
3,6564
4,6435
5,6924
6,4699
7,4412
8,2824
9,5325
10,5963
11,4121
12,6172
13,6902
14,3735
15,6126
16,2918
17,5620
18,3102
19,5414
20,5071
21,7258
22,7442
23,5636
24,4927
25,3750
26,5704
27,5890
28,7393
29,4210
30,2766
31,7384
32,6752
33,6561
34,7359
35,4749
36,3780
37,5125
38,4351
39,3132
40,7737
41,6718
42,6546
43,4947
44,4266
45,3888
46,7348
47,7788
48,6983
49,7596
50,7155
51,5515
52,3500
53,5548
54,7511
55,7081
56,4037
57,3618
58,7036
59,5738
60,5477
61,4958
62,6689
63,6579
64,5245
65,6009
66,5219
67,5892
68,7809
69,7575
70,3471
71,3371
72,5495
73,5298
74,4656
75,5578
76,5275
77,5707
78,5546
79,7562
80,4881
81,4669
82,6174
83,7078
84,6860
85,4285
86,6879
87,4937
88,6438
89,3609
90,7443
91,6399
92,5823
93,7583
94,6072
95,7195
96,3412
97,8082
98,3978
99,5562
100,4962
101,4998
102,7791
103,7183
104,6975
105,4668
106,7595
107,6453
108,5048
109,4215
110,4744
111,4004
112,6162
113,5252
114,4112
115,6069
116,5733
117,5820
118,4061
119,6923
120,3599
121,7238
122,5419
123,5308
124,3884
125,3908
126,3773
127,4049
128,3480
129,7164
130,5026
131,4180
132,5937
133,6041
134,8168
135,3528
136,6954
137,4488
138,7964
139,5630
140,4118
141,3618
142,6380
143,4705
144,3898
145,4715
146,6442
147,6198
148,6762
149,5508
150,8144
151,3442
152,4297
153,5386
154,7025
155,8293
156,5227
157,7764
158,6536
159,7444
160,6331
161,4245
162,4439
163,5005
164,6579
165,5054
166,4051
167,7646
168,6122
169,3685
170,7688
171,4925
172,5843
173,4111
174,6893
175,7189
176,7214
177,5974
178,4737
179,6523
180,3990
181,5869
182,7607
183,7699
184,5464
185,3694
186,7576
187,5024
188,7957
189,5360
190,7498
191,6729
192,8255
193,5381
194,5793
195,7376
196,7457
197,8296
198,3853
199,5545
200,6892
201,3718
202,3988
203,5708
204,7464
205,5772
206,8619
207,4713
208,7352
209,4541
210,4745
211,7362
212,7017
213,6522
214,4623
215,4405
216,3810
217,6119
218,5806
219,8466
220,5876
221,7814
222,5029
223,3995
224,7871
225,5549
226,8576
227,5210
228,7203
229,8205
230,8261
231,6092
232,4795
233,7767
234,5633
235,5292
236,6957
237,6489
238,4371
239,4130
240,5101
241,5605
242,8617
243,5199
244,6550
245,6951
246,4337
247,5834
248,4710
249,6946
250,4575
251,6518
252,8700
253,4449
254,7735
255,5610
256,8379
257,6057
258,7036
259,5765
260,7580
261,4902
262,6231
263,6611
264,8347
265,8794
266,8855
267,5622
268,8906
269,7429
270,5140
271,6436
272,5586
273,8622
274,6901
275,6223
276,7463
277,7761
278,8423
279,4603
280,8463
281,8211
282,7765
283,7652
284,7140
285,5963
286,7297
287,6931
288,9116
289,8529
290,5659
291,5599
292,7316
293,6275
294,7401
295,7685
296,4831
297,5134
298,8452
299,8399
300,5831
301,7616
302,6226
303,8533
304,5159
305,5448
306,7674
307,6918
308,5436
309,7468
310,5574
311,4474
312,7218
313,8290
314,6853
315,7992
316,5820
317,6847
318,7822
319,7236
320,4827
321,7019
322,8983
323,5602
324,5797
325,7494
326,5647
327,8344
328,7608
329,9118
330,7469
331,9363
332,6166
333,9035
334,4878
335,8864
336,7274
337,9486
338,8129
339,9134
340,4574
341,6950
342,5522
343,5261
344,9272
345,8172
346,6406
347,4657
348,8004
349,9188
350,9227
351,6990
352,8483
353,5952
354,8442
355,6717
356,4681
357,9109
358,5933
359,6630
360,9428
361,6344
362,5948
363,8254
364,5820
365,7433
366,7900
367,6226
368,5389
369,9112
370,8734
371,9412
372,9710
373,9496
374,8015
375,9232
376,9450
377,5018
378,5340
379,9044
380,5101
381,6496
382,4824
383,6929
384,5191
385,5839
386,5438
387,7769
388,6326
389,9666
390,6620
391,9028
392,8362
393,7577
394,6991
395,9120
396,6397
397,9427
398,8126
399,6591
400,6790
401,7880
402,9426
403,6344
404,7471
405,5046
406,8816
407,7287
408,8387
409,9674
410,6755
411,7540
412,6047
413,8148
414,9061
415,9822
416,6270
417,8214
418,5334
419,9829
420,7500
421,8342
422,9983
423,8663
424,9325
425,8237
426,6218
427,8164
428,7335
429,6824
430,8492
431,8191
432,5806
433,9029
434,8793
435,9062
436,7311
437,6915
438,7950
439,8677
440,9420
441,5601
442,5835
443,8290
444,8319
445,6141
446,8353
447,9816
448,8232
449,6482
450,8761
451,6856
452,8645
453,6000
454,5911
455,10160
456,7532
457,5510
458,10056
459,5493
460,9363
461,7250
462,6928
463,7668
464,6692
465,6398
466,7161
467,8752
468,5604
469,10049
470,8862
471,7356
472,8612
473,9077
474,9376
475,6151
476,7373
477,6364
478,10115
479,6830
480,6157
481,8280
482,5811
483,6334
484,9267
485,9736
486,6178
487,5900
488,9408
489,6873
490,7767
491,8147
492,7978
493,8524
494,5800
495,5595
496,5983
497,7295
498,5801
499,6721
500,10472
501,7116
502,10161
503,9156
504,7400
505,10458
506,9975
507,10310
508,9266
509,8283
510,5661
511,6928
512,10462
513,10268
514,6021
515,8136
516,8874
517,6180
518,10280
519,7750
520,6203
521,8182
522,7732
523,8628
524,9092
525,8987
526,9030
527,9662
528,6034
529,10238
530,6571
531,8556
532,8068
533,10047
534,9804
535,9509
536,7597
537,9422
538,10246
539,6958
540,7362
541,7611
542,9769
543,7728
544,6867
545,10620
546,6994
547,6437
548,8625
549,7963
550,6853
551,7979
552,10479
553,6652
554,8233
555,8190
556,6564
557,8455
558,9182
559,8753
560,9566
561,7777
562,8008
563,9808
564,8151
565,10482
566,6538
567,9267
568,8255
569,10443
570,5945
571,9623
572,8073
573,8589
574,9111
575,10644
576,8232
577,10818
578,8389
579,10284
580,8185
581,6554
582,7854
583,10572
584,9871
585,9927
586,10966
587,8256
588,9945
589,9785
590,9197
591,7333
592,7673
593,9133
594,8475
595,10079
596,8745
597,10684
598,9525
599,7595
600,8714
601,10357
602,10710
603,6515
604,11110
605,11109
606,7358
607,10795
608,10784
609,8271
610,8459
611,7544
612,8627
613,8349
614,7534
615,10971
616,6451
617,9609
618,8627
619,10490
620,7670
621,9101
622,6708
623,9280
624,8517
625,6780
626,7619
627,10240
628,8558
629,10732
630,9810
631,8739
632,6972
633,8891
634,9635
635,10518
636,9014
637,7866
638,6434
639,7560
640,6775
641,7481
642,10941
643,10991
644,8255
645,6708
646,8003
647,9338
648,9535
649,7501
650,9898
651,6527
652,10385
653,10895
654,9948
655,11162
656,10991
657,11337
658,7594
659,10248
660,11206
661,10325
662,11162
663,11272
664,8135
665,9671
666,9892
667,10782
668,7489
669,11372
670,8337
671,11357
672,10789
673,6943
674,7131
675,11237
676,10661
677,10299
678,8832
679,11401
