x,y
1,68.0
2,64.0
3,67.0
4,65.0
5,66.0
6,67.0
7,68.0
8,70.0
9,74.0
10,76.0
11,78.0
12,83.0
13,86.0
14,90.0
15,93.0
16,97.0
17,101.0
18,105.0
19,109.0
20,112.0
21,116.0
22,118.0
23,121.0
24,124.0
25,128.0
26,130.0
27,134.0
28,137.0
29,140.0
30,143.0
31,146.0
32,149.0
33,152.0
34,155.0
35,158.0
36,161.0
37,164.0
38,166.0
39,169.0
40,173.0
41,175.0
42,178.0
43,182.0
44,184.0
45,187.0
46,190.0
47,193.0
48,196.0
49,199.0
50,202.0
51,204.0
52,207.0
53,211.0
54,213.0
55,216.0
56,219.0
57,222.0
58,225.0
59,228.0
60,232.0
61,235.0
62,237.0
63,240.0
64,243.0
65,247.0
66,249.0
67,253.0
68,256.0
69,259.0
70,262.0
71,265.0
72,268.0
73,271.0
74,274.0
75,278.0
76,281.0
77,284.0
78,287.0
79,290.0
80,293.0
81,296.0
82,299.0
83,302.0
84,305.0
85,308.0
86,310.0
87,314.0
88,317.0
89,320.0
90,323.0
91,326.0
92,329.0
93,331.0
94,334.0
95,337.0
96,340.0
97,343.0
98,346.0
99,349.0
100,352.0
